hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,name,email,phone-number
City Hotel,0,2,August,0,1,2,1.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,100.1,0,2,Gary Garcia,GGarcia@yahoo.com,511-240-2375
City Hotel,0,113,August,1,2,3,0.0,0,BB,DEU,0,0,D,0,No Deposit,0,Transient,195.0,0,1,Thomas Gibson,Thomas_Gibson76@xfinity.com,167-596-3473
City Hotel,0,14,July,0,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,105.0,0,0,Dr. Antonio Ramirez,Dr._R@verizon.com,931-017-7659
City Hotel,1,193,June,1,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,39,Transient,120.0,0,0,Kristi King,Kristi_King15@gmail.com,887-789-0421
City Hotel,0,22,September,1,0,2,0.0,0,SC,GBR,0,0,A,0,No Deposit,0,Transient,89.0,0,2,Nicole Miller,Miller.Nicole@zoho.com,912-012-1367
City Hotel,1,300,November,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,65.0,0,0,Shane Gonzalez,ShaneGonzalez@verizon.com,667-523-1786
City Hotel,1,180,July,1,4,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,107.1,0,0,Rachel Gonzalez,Gonzalez_Rachel@xfinity.com,754-094-7846
City Hotel,1,17,May,1,3,1,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,152.5,0,0,Courtney Gutierrez,CGutierrez@yahoo.com,766-086-2112
City Hotel,1,1,April,2,6,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,95.0,0,0,Jonathan Lawrence,Jonathan_Lawrence@yahoo.com,961-740-2853
Resort Hotel,1,312,May,4,6,2,0.0,0,HB,PRT,0,0,D,0,No Deposit,0,Transient,28.0,0,0,Courtney Waters,CWaters@xfinity.com,709-203-9599
City Hotel,1,66,October,1,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,75.0,0,0,Keith Perry,Keith_P@outlook.com,350-957-0339
City Hotel,1,228,July,0,2,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,107.1,0,0,Courtney Graham,CGraham@xfinity.com,623-603-8542
City Hotel,0,94,May,2,3,2,0.0,0,BB,DEU,0,0,D,0,No Deposit,0,Transient,145.8,0,1,Erin Johnson,Erin_J20@mail.com,337-342-7257
City Hotel,0,43,March,1,3,2,1.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,121.0,1,2,Richard Johnson,RichardJohnson@mail.com,213-637-9534
City Hotel,0,0,April,0,1,3,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,134.0,0,0,Jimmy Parker,Jimmy_Parker@comcast.net,398-695-8660
City Hotel,1,186,May,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Rodney Castillo,Rodney.C@verizon.com,213-250-6428
City Hotel,1,53,September,1,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,105.0,0,0,Kathy Wolf,KathyWolf38@xfinity.com,147-943-9840
City Hotel,0,33,June,1,3,2,0.0,0,SC,DEU,0,0,A,0,No Deposit,0,Transient,130.0,0,1,Veronica Brown,Veronica_Brown@outlook.com,509-229-1369
City Hotel,0,24,April,2,2,1,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,133.5,0,1,Susan Martinez,Susan_M@yahoo.com,828-160-9185
City Hotel,0,0,August,1,0,2,0.0,0,SC,PRT,0,0,A,0,No Deposit,0,Transient,90.0,0,1,Mrs. Brittany Maxwell MD,Mrs..MD@gmail.com,702-443-2214
City Hotel,0,5,December,0,5,2,0.0,0,BB,ESP,0,0,B,1,No Deposit,0,Transient,1.6,1,0,Jonathan Chan,JChan@yandex.com,578-741-5874
Resort Hotel,0,182,July,0,0,2,0.0,0,BB,PRT,0,0,D,2,No Deposit,0,Transient-Party,0.0,0,1,Ryan Calderon,Ryan.Calderon@yandex.com,979-958-4771
City Hotel,1,117,May,2,0,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,126.0,0,0,Emily Alvarado,Emily.Alvarado@yandex.com,660-010-4203
City Hotel,1,130,April,0,4,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,10,Transient,100.0,0,0,Michael Allen,Allen_Michael@comcast.net,646-596-5077
Resort Hotel,1,118,June,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,90.0,0,0,Sharon Miller,Sharon_M@outlook.com,908-379-8376
Resort Hotel,0,53,July,2,3,2,1.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,133.75,1,0,Miss Sharon Bowman MD,Miss_MD@verizon.com,644-188-4937
Resort Hotel,0,18,July,0,2,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,154.0,0,0,Melinda Green,Melinda.G18@comcast.net,773-103-1385
Resort Hotel,0,23,February,1,3,2,0.0,0,BB,GBR,0,0,E,0,No Deposit,0,Transient,40.5,0,0,Susan Wilkerson,Wilkerson_Susan@comcast.net,534-121-3491
Resort Hotel,0,4,January,1,3,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,38.0,0,0,Victor Anderson,Victor.Anderson@verizon.com,267-743-6742
City Hotel,0,3,August,1,3,1,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient-Party,60.0,0,0,Matthew Moore,Matthew_M60@mail.com,676-303-2714
City Hotel,1,197,June,1,2,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,25,Transient,80.0,0,0,Stephen Dean,Stephen.Dean@yahoo.com,790-619-6868
Resort Hotel,0,47,February,1,1,2,2.0,0,BB,PRT,0,0,G,0,No Deposit,0,Transient,84.0,0,1,Sara Morris,Sara.Morris@att.com,468-575-8418
Resort Hotel,0,82,August,2,5,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,162.14,0,1,Gregory Williams,GWilliams@zoho.com,768-054-0541
City Hotel,0,54,May,2,2,1,0.0,0,HB,FRA,0,0,D,1,No Deposit,0,Transient,228.0,0,1,Timothy Payne,TimothyPayne@aol.com,279-519-6472
City Hotel,1,98,December,2,1,3,0.0,0,BB,PRT,1,0,A,0,No Deposit,0,Transient,118.0,0,2,Donna Williams,Donna_W@att.com,592-790-7003
Resort Hotel,0,162,March,0,3,2,0.0,0,Undefined,ESP,0,0,A,0,No Deposit,0,Transient-Party,84.0,0,0,Valerie Kim,Kim.Valerie@verizon.com,331-815-6943
City Hotel,0,322,May,0,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,75.0,0,0,Dorothy Hanson,DHanson14@hotmail.com,906-396-7449
City Hotel,1,374,October,1,1,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Contract,62.0,0,0,Jennifer Castillo,Jennifer.Castillo37@att.com,825-612-0482
Resort Hotel,0,23,February,0,3,2,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,80.0,0,1,Michele Bruce,Bruce_Michele@mail.com,499-822-5190
City Hotel,0,53,July,1,1,3,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,137.7,0,2,Monica Brown,Monica_Brown84@hotmail.com,912-995-2972
City Hotel,0,19,January,0,2,1,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Transient,78.6,0,1,Kimberly Johnson,Kimberly.Johnson91@protonmail.com,611-555-0709
Resort Hotel,1,38,August,0,4,2,0.0,0,HB,PRT,0,0,E,0,No Deposit,0,Transient,231.8,0,1,Michelle Wood,Michelle_W18@zoho.com,366-418-8824
Resort Hotel,1,171,September,1,5,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,92.33,0,2,Jennifer Zamora DDS,DDS.Jennifer@yandex.com,713-576-3129
City Hotel,1,134,June,0,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Kim Martinez,Martinez_Kim@verizon.com,127-867-7387
City Hotel,0,66,October,1,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,75.0,0,0,Julia Gonzales,Gonzales_Julia@zoho.com,622-697-8509
City Hotel,0,129,August,0,2,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,109.8,1,0,Ronald Davis,RonaldDavis99@aol.com,737-996-7633
Resort Hotel,1,248,June,0,1,2,0.0,0,BB,PRT,0,0,D,1,No Deposit,0,Transient-Party,101.25,0,1,Alexandria Ayers,AAyers@zoho.com,977-573-3056
City Hotel,0,218,October,1,2,2,0.0,0,BB,GBR,0,0,A,1,No Deposit,0,Transient,106.1,0,2,Alicia Silva,AliciaSilva@gmail.com,955-153-6877
City Hotel,1,102,October,0,2,2,0.0,0,HB,PRT,0,0,A,0,Non Refund,0,Transient-Party,101.5,0,0,Kevin Walter,Walter_Kevin@mail.com,354-075-1461
City Hotel,1,301,August,0,2,2,0.0,0,HB,PRT,1,0,A,0,Non Refund,0,Transient-Party,101.5,0,0,Cheyenne Anderson,CheyenneAnderson34@xfinity.com,784-239-5936
Resort Hotel,1,35,July,0,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,175.0,0,1,David Brown,DavidBrown@gmail.com,521-233-8541
City Hotel,0,8,March,0,4,3,0.0,0,BB,GBR,0,0,D,0,No Deposit,0,Transient,107.44,0,0,Richard Dean,Dean.Richard@mail.com,233-419-3457
Resort Hotel,0,0,June,0,1,1,0.0,0,BB,PRT,0,5,A,0,No Deposit,0,Transient,79.0,0,0,Amy Hansen,Amy_H24@yandex.com,736-442-8468
Resort Hotel,1,1,June,0,2,1,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,105.0,0,0,Stephanie Russo,SRusso@yahoo.com,335-666-2179
City Hotel,1,168,April,1,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,77,Transient,85.0,0,0,Frank Marshall,Frank.Marshall@hotmail.com,982-816-4796
City Hotel,1,149,August,2,2,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient,105.3,0,0,Colleen Jennings,Colleen.J@yandex.com,972-245-2714
City Hotel,0,144,May,2,1,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient-Party,90.0,0,1,George Davis,George_D@protonmail.com,400-613-6276
City Hotel,0,6,November,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,65.0,0,0,Joshua Pittman,Joshua_P65@comcast.net,319-067-9299
City Hotel,0,2,December,0,1,1,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,0.0,0,0,Anna Castro,Castro.Anna@comcast.net,675-671-9118
City Hotel,0,2,April,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,95.0,0,0,Jeanette Woods,Woods_Jeanette@gmail.com,468-855-6365
Resort Hotel,1,272,September,0,3,1,0.0,0,HB,PRT,1,0,A,2,No Deposit,0,Transient-Party,41.0,0,0,Stephen Wright,Stephen_Wright@outlook.com,391-579-6988
City Hotel,1,34,December,0,2,1,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Transient,90.0,0,0,Kirsten Warner,KirstenWarner@protonmail.com,189-460-8385
Resort Hotel,0,164,June,2,8,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Contract,62.2,1,1,Gabrielle Eaton,Gabrielle_E@comcast.net,713-357-2250
City Hotel,0,133,June,1,3,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,76.0,0,0,Cameron Bautista,Cameron.Bautista41@gmail.com,883-110-1107
Resort Hotel,1,13,November,2,0,1,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,79.0,0,1,Cassandra Long,CassandraLong96@mail.com,752-450-6178
Resort Hotel,1,105,September,1,5,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,98.0,0,0,Mrs. Lauren Gray MD,Mrs..MD@att.com,612-370-9029
City Hotel,1,184,August,0,1,1,1.0,0,HB,DEU,0,0,A,5,No Deposit,0,Transient,82.13,0,2,Brent Wallace,BrentWallace@yandex.com,193-767-6749
City Hotel,1,158,May,0,2,1,0.0,0,BB,PRT,0,0,A,0,Non Refund,31,Transient,130.0,0,0,Cheryl Parsons,Parsons_Cheryl27@xfinity.com,195-967-5403
City Hotel,0,1,September,0,3,2,0.0,0,SC,GBR,0,0,A,1,No Deposit,0,Transient,109.85,0,0,Elizabeth Rodriguez,Elizabeth.Rodriguez@verizon.com,572-503-6234
City Hotel,0,6,June,1,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,141.0,0,1,Molly Rogers,Rogers_Molly@verizon.com,245-563-7537
Resort Hotel,0,31,March,2,5,2,0.0,0,HB,FRA,0,0,A,0,No Deposit,0,Transient,48.0,0,1,Susan Ruiz,SRuiz@protonmail.com,960-703-8622
City Hotel,1,41,September,0,2,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,130.0,0,0,John Clark,John_Clark@gmail.com,104-776-2627
Resort Hotel,0,211,September,2,5,2,0.0,0,BB,ESP,0,0,F,0,No Deposit,0,Transient,129.0,0,1,Robert Jenkins,Robert.J94@xfinity.com,982-014-1122
City Hotel,0,1,October,0,2,2,0.0,0,BB,PRT,0,1,A,0,No Deposit,0,Transient,0.0,0,0,Barry Ritter,Ritter.Barry@hotmail.com,984-153-8501
Resort Hotel,0,282,June,2,5,2,2.0,0,HB,ESP,0,0,C,1,No Deposit,0,Transient-Party,154.8,0,1,Jacob Williams,JacobWilliams75@zoho.com,202-559-7137
City Hotel,0,13,March,1,0,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,85.0,0,1,Kara Solis,KSolis@mail.com,429-304-1533
Resort Hotel,0,171,March,2,5,2,0.0,0,HB,DEU,0,0,E,0,No Deposit,0,Transient-Party,71.0,0,0,Debbie Jones,Debbie_Jones@gmail.com,273-437-5433
City Hotel,0,55,August,0,2,2,0.0,0,BB,ESP,0,0,A,0,No Deposit,0,Transient-Party,62.0,0,0,Russell Valencia,Russell.Valencia@gmail.com,183-784-0973
Resort Hotel,0,313,July,2,5,1,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,91.95,1,0,Kristen Garcia,Kristen_G@protonmail.com,837-920-5863
City Hotel,0,0,September,0,1,1,0.0,0,BB,PRT,0,0,A,1,No Deposit,0,Transient,114.0,0,0,Martha Johnson,Johnson.Martha@yandex.com,998-774-7212
City Hotel,0,56,June,1,3,1,0.0,0,BB,DEU,0,0,A,2,No Deposit,0,Transient-Party,74.0,0,0,Thomas Hoover,ThomasHoover@mail.com,287-158-8281
Resort Hotel,1,22,August,2,4,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,191.0,0,3,Joseph Smith,Joseph.Smith@protonmail.com,429-435-0903
City Hotel,0,7,May,0,2,2,0.0,0,BB,DEU,0,0,A,0,No Deposit,0,Transient,170.0,0,1,Theresa Lowe,TLowe@verizon.com,234-139-1158
City Hotel,0,111,July,2,3,2,0.0,0,HB,PRT,0,0,A,0,No Deposit,0,Transient,139.5,0,1,Karen Johnson,KarenJohnson29@verizon.com,186-144-1081
Resort Hotel,1,80,November,1,3,2,0.0,1,BB,PRT,0,0,A,0,No Deposit,0,Transient,32.4,0,3,Karl Castro,KCastro84@yandex.com,800-378-3892
City Hotel,1,157,May,1,3,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,130.0,0,0,Amber Allen,Amber.A@outlook.com,490-038-4930
Resort Hotel,0,77,March,2,5,2,0.0,0,HB,DEU,0,0,D,0,No Deposit,0,Transient,83.61,0,1,Alyssa Wilcox,AlyssaWilcox84@comcast.net,304-691-2371
Resort Hotel,0,0,February,0,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,45.0,0,0,Veronica Bowen,VBowen@gmail.com,138-550-1166
Resort Hotel,0,3,April,0,1,2,0.0,0,BB,ESP,0,0,E,0,No Deposit,0,Transient,95.0,0,1,Stephanie Spears,StephanieSpears@verizon.com,925-084-0069
City Hotel,0,12,October,1,0,2,0.0,0,BB,PRT,0,0,A,1,No Deposit,0,Transient-Party,72.0,0,0,Anne Hodge,Anne_Hodge@hotmail.com,446-220-0740
City Hotel,0,257,July,0,1,2,0.0,0,BB,GBR,0,0,B,0,No Deposit,0,Transient,90.5,0,0,Cynthia Smith,CSmith70@yandex.com,329-694-5160
City Hotel,1,97,October,1,3,1,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,140.0,0,0,Joseph Wilson,Joseph_Wilson@xfinity.com,872-780-9613
Resort Hotel,0,275,April,2,5,1,0.0,0,HB,GBR,0,0,A,0,No Deposit,0,Transient-Party,45.9,0,0,Lindsey Wang,Lindsey_Wang@verizon.com,619-502-5614
City Hotel,1,285,October,1,3,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,24,Transient,100.0,0,0,Sandra Johnson,Johnson_Sandra78@yandex.com,137-602-2112
Resort Hotel,0,16,January,1,2,2,0.0,0,BB,PRT,0,0,A,1,No Deposit,0,Transient-Party,40.0,0,0,Bobby Zhang,Bobby.Z@hotmail.com,428-710-8937
Resort Hotel,0,0,September,0,1,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,131.0,1,0,Dr. Damon Walter,Dr.Walter@outlook.com,437-096-4860
Resort Hotel,1,253,September,2,5,2,0.0,0,BB,PRT,1,0,A,0,Non Refund,0,Transient,58.95,0,0,Holly Cooper,HCooper@yandex.com,878-893-0204
Resort Hotel,0,252,April,2,5,2,0.0,0,BB,GBR,0,0,D,2,No Deposit,0,Transient-Party,76.8,0,0,David Mooney,Mooney_David@yandex.com,325-095-2590
City Hotel,0,0,August,0,1,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,75.0,0,0,Jeffrey Johnson,Jeffrey_J@comcast.net,239-401-2455
City Hotel,1,1,February,1,0,2,0.0,0,SC,PRT,0,0,A,0,No Deposit,0,Transient,79.0,0,0,Vincent Ford,VincentFord@mail.com,153-497-3473
Resort Hotel,1,182,October,2,5,2,0.0,0,HB,PRT,0,0,D,0,No Deposit,0,Transient,79.8,0,0,Joshua Woodward,Joshua_Woodward@comcast.net,813-241-6392
City Hotel,0,12,February,0,3,1,0.0,0,SC,DEU,0,0,A,0,No Deposit,0,Transient,76.33,0,0,Miss Mary Shields,MissShields73@hotmail.com,100-177-4219
City Hotel,0,28,January,1,1,2,0.0,0,BB,ESP,0,0,D,0,No Deposit,0,Transient,76.69,0,0,Rachel Jennings,Rachel_J@mail.com,778-429-9563
City Hotel,0,476,July,2,1,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient-Party,112.67,0,1,Dana Whitaker,Whitaker.Dana@att.com,205-597-9116
City Hotel,0,208,July,0,2,2,0.0,0,BB,ESP,0,0,B,1,No Deposit,0,Transient,104.62,1,0,Ellen Schmitt,Ellen.Schmitt40@mail.com,719-763-7613
City Hotel,0,8,April,0,1,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,65.0,0,0,Ashley Avila,Ashley_A@verizon.com,754-049-1857
City Hotel,1,183,June,0,2,1,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Joe Greene,Greene_Joe@outlook.com,777-742-8228
Resort Hotel,0,127,July,2,5,2,0.0,0,BB,PRT,0,0,A,2,No Deposit,0,Transient,162.0,0,1,Rebecca Sandoval,Sandoval_Rebecca@gmail.com,819-744-0840
City Hotel,1,305,November,1,2,2,0.0,0,BB,PRT,0,0,A,0,Non Refund,0,Transient,89.0,0,0,Andre Small,Andre_Small@yandex.com,302-289-9482
Resort Hotel,0,10,May,0,2,2,2.0,0,BB,GBR,0,0,G,0,No Deposit,0,Transient,139.0,0,0,Dennis Simpson,DennisSimpson@yandex.com,659-943-8936
City Hotel,0,8,September,0,1,2,0.0,0,SC,GBR,0,0,A,0,No Deposit,0,Transient,119.0,0,1,Michael Petersen,MichaelPetersen@comcast.net,374-957-5467
Resort Hotel,0,1,January,0,1,2,2.0,0,BB,PRT,0,0,G,0,No Deposit,0,Transient,76.0,0,2,Alexander Douglas,Alexander.D@xfinity.com,410-142-7708
City Hotel,1,164,August,0,3,2,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient,76.46,0,0,Denise Small,Denise_Small@protonmail.com,515-885-0128
Resort Hotel,0,24,August,2,5,2,0.0,0,BB,PRT,0,0,E,0,No Deposit,0,Transient,172.71,0,3,Amanda French,AmandaFrench@protonmail.com,349-841-3099
Resort Hotel,0,26,November,2,6,2,0.0,0,BB,ESP,0,0,D,2,No Deposit,0,Transient,56.0,0,1,Jonathan Thomas,Jonathan_T@hotmail.com,241-173-1198
Resort Hotel,1,43,July,1,3,3,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient,108.8,0,0,Richard Holt,Richard.Holt@hotmail.com,517-420-6344
City Hotel,0,62,September,0,2,1,0.0,0,BB,FRA,0,0,D,0,No Deposit,0,Transient,115.04,0,1,Samantha Sullivan,SamanthaSullivan25@protonmail.com,340-005-7612
City Hotel,0,156,March,0,4,2,0.0,0,BB,GBR,0,0,A,0,No Deposit,0,Transient,14.0,0,0,Bryan Oneal,Bryan.Oneal83@aol.com,642-590-6639
City Hotel,0,71,April,2,1,2,0.0,0,BB,PRT,0,0,D,0,No Deposit,0,Transient-Party,112.8,0,0,Kevin Kelly,Kevin.Kelly@verizon.com,584-707-5913
City Hotel,0,4,January,0,2,1,0.0,0,BB,PRT,0,0,A,0,No Deposit,0,Transient-Party,70.0,0,0,Timothy Kirby,Kirby_Timothy@protonmail.com,276-631-5065
City Hotel,0,9,February,2,1,2,0.0,0,BB,FRA,0,0,A,0,No Deposit,0,Transient,93.0,0,1,Melissa Campbell,Melissa_Campbell@yahoo.com,387-017-7724
